X,Y,Z
-67.5116,67.3121,-22.5826
-67.0022,66.6575,-23.2120
-67.5451,-67.3611,-22.5379
-67.6760,-67.6847,-22.2921
-67.3121,-67.5116,-22.5826
-66.6575,-67.0022,-23.2120
67.3611,-67.5451,-22.5379
67.6847,-67.6760,-22.2921
67.5116,-67.3121,-22.5826
67.0022,-66.6575,-23.2120
67.0022,0.8425,-23.2120
66.5827,-1.2380,-23.7120
67.1255,66.9416,-23.0379
67.2565,67.2651,-22.7921
66.8925,67.0920,-23.0826
66.2380,66.5827,-23.7120
-66.9416,67.1255,-23.0379
-67.2651,67.2565,-22.7921
-67.0920,66.8925,-23.0826
-66.5827,66.2380,-23.7120
-67.1255,-66.9416,-23.0379
-67.2565,-67.2651,-22.7921
-66.8925,-67.0920,-23.0826
-66.2380,-66.5827,-23.7120
66.9416,-67.1255,-23.0379
67.2651,-67.2565,-22.7921
67.0920,-66.8925,-23.0826
66.5827,-66.2380,-23.7120
66.5827,-1.2380,-23.7120
66.1631,-0.8184,-24.2120
66.7060,66.5220,-23.5379
66.8369,66.8456,-23.2921
66.4730,66.6725,-23.5826
65.8184,66.1631,-24.2120
-66.5220,66.7060,-23.5379
-66.8456,66.8369,-23.2921
-66.6725,66.4730,-23.5826
-66.1631,65.8184,-24.2120
-66.7060,-66.5220,-23.5379
-66.8369,-66.8456,-23.2921
-66.4730,-66.6725,-23.5826
-65.8184,-66.1631,-24.2120
66.5220,-66.7060,-23.5379
66.8456,-66.8369,-23.2921
66.6725,-66.4730,-23.5826
66.1631,-65.8184,-24.2120
66.1631,-0.8184,-24.2120
65.7436,-0.3989,-24.7120
66.2864,66.1025,-24.0379
66.4174,66.4260,-23.7921
66.0535,66.2529,-24.0826
65.3989,65.7436,-24.7120
-66.1025,66.2864,-24.0379
-66.4260,66.4174,-23.7921
-66.2529,66.0535,-24.0826
-65.7436,65.3989,-24.7120
-66.2864,-66.1025,-24.0379
-66.4174,-66.4260,-23.7921
-66.0535,-66.2529,-24.0826
-65.3989,-65.7436,-24.7120
66.1025,-66.2864,-24.0379
66.4260,-66.4174,-23.7921
66.2529,-66.0535,-24.0826
65.7436,-65.3989,-24.7120
65.7436,-0.3989,-24.7120
65.3240,0.0207,-25.2120
65.8669,65.6830,-24.5379
65.9978,66.0065,-24.2921
65.6339,65.8334,-24.5826
64.9793,65.3240,-25.2120
-65.6830,65.8669,-24.5379
-66.0065,65.9978,-24.2921
-65.8334,65.6339,-24.5826
-65.3240,64.9793,-25.2120
-65.8669,-65.6830,-24.5379
-65.9978,-66.0065,-24.2921
-65.6339,-65.8334,-24.5826
-64.9793,-65.3240,-25.2120
65.6830,-65.8669,-24.5379
66.0065,-65.9978,-24.2921
65.8334,-65.6339,-24.5826
65.3240,-64.9793,-25.2120
65.3240,0.0207,-25.2120
64.9045,0.4402,-25.7120
65.4473,65.2634,-25.0379
65.5783,65.5869,-24.7921
65.2143,65.4138,-25.0826
